,Filename,NumAtoms,crest-hour,crest-min,crest-second,Hours,Minutes,Seconds,Time
23913,GOZVTYYQUWQIBY-DBIOUOCHSA-N,29,0,14,11,0,0,6.367999999999999,6.367999999999999
23914,GGKFHAVNHAYFLX-OUKQBFOZSA-N,40,1,5,15,0,0,13.677,13.677
23915,GPYDMVZCPRONLW-UHFFFAOYSA-N,22,0,11,59,0,0,3.827,3.827
23916,GIKVNUDIQSQRMO-UHFFFAOYSA-N,31,0,34,22,0,0,8.27,8.27
23917,GACIFNZAGUPWDW-UHFFFAOYSA-N,51,2,23,34,0,0,29.261,29.261
23918,GQMMRLBWXCGBEV-VMPITWQZSA-N,18,0,10,27,0,0,1.801,1.801
23919,GETTZEONDQJALK-UHFFFAOYSA-N,15,0,4,31,0,0,1.121,1.121
23920,GJMGEVCMNPZEKD-MGPQQGTHSA-N,38,0,29,36,0,0,10.78,10.78
23921,GQGJXPHMWFNEPR-SXYSDOLCSA-N,50,1,35,28,0,0,29.026,29.026
23922,GPIXGMBOAZVDIP-NSHDSACASA-N,42,4,54,36,0,0,16.881,16.881
23923,GWANPDUATWKNDN-UHFFFAOYSA-N,20,0,12,1,0,0,2.11,2.11
23924,GSRKAEWQWQHVFQ-UKTHLTGXSA-N,38,1,4,40,0,0,13.485,13.485
23925,GVOBQZSAQVPPHB-UHFFFAOYSA-N,56,1,58,29,0,0,33.465,33.465
23926,GMMXCUJVWPKZDL-ZROIWOOFSA-N,28,0,36,31,0,0,5.2010000000000005,5.2010000000000005
23927,GCMMUZOOIURDCF-RIRIBCRKSA-N,65,2,11,18,0,0,54.547,54.547
23928,GZRFEEYQUCFQMA-FQEVSTJZSA-N,36,2,49,44,0,0,11.237,11.237
23929,GDMGGUGIOSJDHW-LVZFUZTISA-N,40,3,0,14,0,0,17.160999999999998,17.160999999999998
23930,GFHSXDDYHVZYSX-LJQANCHMSA-N,47,2,53,55,0,0,23.353,23.353
23931,GRHZYDGKXPVLEH-UHFFFAOYSA-N,26,0,19,7,0,0,3.915,3.915
23932,GYEYIEJJQBONDI-DEOSSOPVSA-N,52,2,55,48,0,0,27.848000000000003,27.848000000000003
23933,GNULRNVWXYXBQY-FQEVSTJZSA-N,48,2,7,36,0,0,21.730999999999998,21.730999999999998
23934,GKRRMZOBEWWBHG-DJKKODMXSA-N,32,0,32,37,0,0,7.932,7.932
23935,GAANNOQNGYCNJR-JGCGQSQUSA-N,68,10,16,45,0,0,37.435,37.435
23936,GEJKTZQVPRSZAN-UHFFFAOYSA-N,32,0,16,3,0,0,7.803999999999999,7.803999999999999
23937,GDKKOPGUVSSFLJ-RPCRKUJJSA-N,48,3,31,42,0,0,21.573,21.573
23938,GPUPCDDIFKJMLX-UHFFFAOYSA-N,50,3,26,56,0,0,31.119,31.119
23939,GCKBIXCMUQELFD-DOTOQJQBSA-N,41,0,57,6,0,0,15.933,15.933
23940,GLHLVXCWYAILPO-CYBMUJFWSA-N,34,0,20,31,0,0,7.767,7.767
23941,GNEZWXGVHOFSIG-KXBFYZLASA-N,51,3,6,54,0,0,30.638,30.638
23942,GVHQEDUJOUWCJC-UHFFFAOYSA-N,38,1,45,20,0,0,25.932,25.932
23943,GKNLIEKNTWKHMQ-NFQUHZNNSA-N,45,0,58,29,0,0,18.507,18.507
23944,GRJQUZMRRBKPKH-LOYHVIPDSA-N,62,2,39,27,0,0,45.873000000000005,45.873000000000005
23945,GZMXWUIJBWCZRJ-JVUXSYOVSA-N,129,5,13,1,0,5,24.025,324.025
23946,GWXHVTYUMLUHSF-UHFFFAOYSA-N,74,6,54,18,0,1,13.575,73.575
23947,GUWSFFFEWCFNBX-CQSZACIVSA-N,42,1,36,18,0,0,20.535999999999998,20.535999999999998
23948,GKGKTMORJNIZMA-RDGATRHJSA-N,54,3,25,39,0,0,33.014,33.014
23949,GBWMIOYSMWCYIZ-UHFFFAOYSA-N,22,0,8,10,0,0,2.987,2.987
23950,GAVXMTRMXPWCCV-UHFFFAOYSA-N,33,0,27,3,0,0,7.935,7.935
23951,GKAWOCCNJCBTPE-CVEARBPZSA-N,41,0,58,37,0,0,14.859000000000002,14.859000000000002
23952,GGRKJLRQUDAOEB-GIVNFFOOSA-N,39,0,39,38,0,0,10.102,10.102
23953,GZBLPWMIMRVYDU-UONOGXRCSA-N,36,0,21,40,0,0,9.757,9.757
23954,GWXLQMSYFVIRFT-UKRRQHHQSA-N,35,0,20,19,0,0,9.08,9.08
23955,GQPNRKINCKOVCA-JGCGQSQUSA-N,67,3,16,54,0,0,55.711000000000006,55.711000000000006
23956,GCDSCGZEIGPRIT-XZUNHOGQSA-N,40,1,25,26,0,0,14.72,14.72
23957,GPAAWNJDOIZWQD-PHEQNACWSA-N,38,0,54,3,0,0,10.189,10.189
23958,GDJDISPEFBMNPU-UHFFFAOYSA-N,48,2,34,49,0,0,30.296,30.296
23959,GRILELGQNUBIAJ-RNQWEJQRSA-N,36,1,5,26,0,0,11.538,11.538
23960,GAOIOSVEJZALMD-USIMLTPFSA-N,90,17,18,19,0,2,11.607999999999999,131.608
23961,GCHXPSOEMAKHKV-WHGOUJPWSA-N,29,0,17,1,0,0,4.988,4.988
23962,GQYVFGZUKTXSCP-UHFFFAOYSA-N,70,1,26,17,0,1,15.439,75.439
23963,GWGHMQCZFWVDHH-NSHDSACASA-O,29,0,19,53,0,0,4.985,4.985
23964,GDUCUMCKTZBPMG-CQSZACIVSA-N,51,2,53,20,0,0,34.469,34.469
23965,GTMNJSHZYITKOK-GOTSBHOMSA-N,56,3,3,36,0,0,34.911,34.911
23966,GZTCVMVSGFDGSA-UHFFFAOYSA-N,72,6,54,18,0,1,14.686,74.686
23967,GNAXDUVNSSFUEA-RVDMUPIBSA-N,44,2,45,22,0,0,21.074,21.074
23968,GBMKWBRPCIKOJT-UHFFFAOYSA-N,23,0,12,12,0,0,3.945,3.945
23969,GTCBUJBGNFKBNT-UHFFFAOYSA-N,49,1,0,10,0,0,27.116,27.116
23970,GNTGKCOQWUIXHF-UHFFFAOYSA-N,51,2,22,21,0,0,35.273,35.273
23971,GZVHEAJQGPRDLQ-UHFFFAOYSA-N,23,0,9,49,0,0,3.57,3.57
23972,GZUITABIAKMVPG-UHFFFAOYSA-O,62,5,1,14,0,0,54.318999999999996,54.318999999999996
23973,GWVWBPMNQATKTP-HXPMCKFVSA-N,54,2,31,51,0,0,25.906,25.906
23974,GQPIARNXCDFMAV-VHSSKADRSA-N,38,0,23,15,0,0,13.309000000000001,13.309000000000001
23975,GRUQTJIWAVIOSI-OMIKWJFYSA-N,51,0,51,39,0,0,28.211,28.211
23976,GCWINZJRGXWURL-XUVXKRRUSA-N,48,2,4,29,0,0,22.706999999999997,22.706999999999997
23977,GBMSYQZKLPSYFV-RCCKNPSSSA-N,43,4,51,4,0,0,22.653000000000002,22.653000000000002
23978,GHNCKWHUGYJZDB-ZWKOTPCHSA-N,48,2,23,44,0,0,27.296999999999997,27.296999999999997
23979,GYFLKQXJDRGLRI-UHFFFAOYSA-N,37,3,1,15,0,0,14.575999999999999,14.575999999999999
23980,GAKVKFLGEZITJF-UHFFFAOYSA-N,43,1,59,50,0,0,19.480999999999998,19.480999999999998
23981,GTSLKQLOFRYRTJ-UHFFFAOYSA-N,23,0,39,35,0,0,5.376,5.376
