# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename
644,lithium fluoride,LiF,0,1,7789-24-4,23007,,"InChI=1S/FH.Li/h1H;/q;+1/p-1",,-335.14,0,24,-337.23,200.31,0,38,199.98,0,lithium-fluoride
645,lithium hydride,HLi,0,1,7580-67-8,56460,,"InChI=1S/Li.H/q+1;-1",,139.33,0,24,137.35,170.94,0,38,170.87,0,lithium-hydride
646,lithium hydroxide,HLiO,0,1,1310-65-2,3802,,"InChI=1S/Li.H2O/h;1H2/q+1;/p-1",,-234.3,0,38,-238.13,210.7,0,38,211.74,0,lithium-hydroxide
648,lithium potassium,KLi,0,1,12030-83-0,24770910,,InChI=1S/K.Li/q2*+1,,,,,173.1,,,,229.34,0,lithium-potassium
649,lithium sodium,LiNa,0,1,12333-49-2,10612180,,InChI=1S/Li.Na/q2*+1,,,,,179.3,,,,219.03,0,lithium-sodium
650,"(2S)-2,6-diaminohexanoic acid",C6H14N2O2,0,1,56-87-1,5747,5962,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",KDXKERNSBIXSRK-YFKPBYRVSA-N,-461,0,22,-448.06,529,0,22,454.99,5,lysine
651,lysine+,C6H15N2O2+,1,1,,,,"InChI=1S/C6H15N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,8H2,7H3,(H,9,10)/t5-/m0/s1",,,,,114.5,,,,439.46,6,lysine+
652,magnesium bromide chloride,BrClMg,0,1,,9553450,,"InChI=1S/BrH.ClH.Mg/h2*1H;/q;;+2/p-2",,,,,-353.61,,,,243.38,0,magnesium-bromide-chloride
653,magnesium bromide fluoride,BrFMg,0,1,,8009673,,"InChI=1S/BrH.FH.Mg/h2*1H;/q;;+2/p-2",,,,,-519.53,,,,240.91,0,magnesium-bromide-fluoride
655,magnesium dibromide,MgBr2,0,1,7789-48-2,74219,,"InChI=1S/2BrH.Mg/h2*1H;/q;;+2/p-2",,-302.92,0,38,-305.9,301.04,0,38,278.04,0,magnesium-bromide
656,magnesium chloride fluoride,ClFMg,0,1,60175-01-1,126763,,"InChI=1S/ClH.FH.Mg/h2*1H;/q;;+2/p-2",,,,,-568.4,,,,222.25,0,magnesium-chloride-fluoride
657,magnesium chloride hydroxide,HClMgO,0,1,,23354157,,"InChI=1S/ClH.Mg.H2O/h1H;;1H2/q;+2;/p-2",,,,,-479.65,,,,284.75,0,magnesium-chloride-hydroxide
658,magnesium dichloride,MgCl2,0,1,7786-30-3,22987,,"InChI=1S/2ClH.Mg/h2*1H;/q;;+2/p-2",,-392.46,2.09,28,-401.81,277.03,0,38,255.33,0,magnesium-chloride
659,magnesium fluoride hydroxide,HFMgO,0,1,,29321992,,"InChI=1S/FH.Mg.H2O/h1H;;1H2/q;+2;/p-2",,,,,-645.31,,,,272.13,0,magnesium-fluoride-hydroxide
