Receptor,PathFeatures
3.0,"['866444011011', '666444111112', '666443111122', '666434112221', '666344120210', '668444200100']"
4.0,"['766333011011', '666333112111', '667333122111']"
2.0,"['866444000000', '667444000000', '676444000000', '766444000000', '668444000000']"
1.0,"['766333011011', '666334110110', '666343100100', '668433000000']"
5.0,"['866444010010', '667444100100']"
1.0,"['766334000000', '667344001001', '676444011011', '766444111111', '666444111111', '667444111111', '676444110110', '766443100100', '668433000000']"
1.0,"['766334000000', '667344001001', '676444011011', '766444111111', '667444111111', '676444110110', '766443100100', '668433000000']"
4.0,"['766334000000', '667344001001', '676444011011', '766444111111', '667444111111']"
0.0,"['866444011011', '666443110110', '667433102101', '676333022011', '768333220110']"
2.0,"['866444011013', '666444112132', '668444120320']"
3.0,"['866444011022', '666444111221', '666444110210', '668444100100']"
0.0,"['766444001001', '666443011011', '668433110110']"
1.0,"['766334001001', '667343010010', '676433100100', '766334002001', '667343020010', '676433200100', '768333000000']"
1.0,"['766343011011', '668433110110', '686333100100', '868333000000']"
1.0,"['866443011011', '666434110110', '668343100100', '686433000000', '868333000000']"
2.0,"['767333011011', '676334112111', '768344122111', '686444222111', '866444220110', '668444200100']"
3.0,"['767333011011', '676334112111', '768344122111']"
3.0,"['866444011011', '666444110110', '668443100100']"
6.0,"['766333112121', '6616334120210', '6168343200100']"
1.0,"['767343110110', '676433100100', '768333000000']"
1.0,"['766344011011', '666443110110', '668433100100']"
5.0,"['866334000000', '667343000000']"
5.0,"['866444000000', '666443000000', '667433000000']"
1.0,"['866334000000', '666344000000', '666444000000', '666444000000', '666444000000', '667443000000', '676433000000', '768333000000']"
1.0,"['867443011011', '676433110110', '768333100100']"
1.0,"['866334000000', '666344000000', '666443000000', '667433000000', '677333000000', '776333000000', '768333000000']"
4.0,"['866444011011', '666444111112', '666444112121', '666444120210', '667444203101']"
1.0,"['866444011021', '666444111211', '668443110110', '686433100100', '868333000000']"
1.0,"['767333110110', '676333100100', '768333000000']"
6.0,"['766333011011', '667333110110', '6716334100100', '7168343000000']"
6.0,"['766444000000', '667443000000', '6716434000000', '7168343000000']"
5.0,"['866333001001', '666333011011', '667333110110']"
1.0,"['766334000000', '667344000000', '676444000000', '766443001001', '666433011011', '666333111111', '666333111111', '666334110110', '667344100100', '676444000000', '766443000000', '668433000000']"
4.0,"['766334000000', '667344000000', '676444000000', '766443001001', '667433011011']"
1.0,"['766334000000', '667343000000', '676433000000', '768333000000', '686333001001', '866333011011', '666333112111', '666333122111', '668333220110', '686333200100', '868333000000']"
1.0,"['766334110110', '667343100100', '676433000000', '766334000000', '667343000000', '676433000000', '768333000000']"
6.0,"['866444011012', '666444112121', '666443122211', '667433220110', '6716334200100', '7168343000000']"
2.0,"['766333001001', '667333011011', '678333110110']"
1.0,"['766344000000', '668444000000', '686444000000', '866444000000', '667443000000', '676433000000', '768333000000']"
1.0,"['8156444000000', '1566444000000', '666443000000', '668433000000']"
4.0,"['866444011034', '666444112343', '667444122432']"
1.0,"['866444001003', '666444011034', '666444112341', '666444122411', '666443220110', '668433200100']"
4.0,"['766333112121', '668333120210', '686334200100', '866343003001', '667433033011']"
4.0,"['866333011011', '667333112111', '677333122111']"
3.0,"['866443011012', '666433112121', '668333120210']"
0.0,"['866333001001', '666333011011', '668333110110']"
1.0,"['866444011032', '666444111321', '668443110210', '686433100100', '868333000000']"
0.0,"['866443011011', '666433111111', '666334111112', '666343112121', '668433120210']"
6.0,"['876444011011', '766444110110', '6616444100100', '6168443000000']"
1.0,"['866443001001', '666433011011', '666333110110', '668333100100']"
0.0,"['767333001001', '676333011011', '768333110110']"
4.0,"['866444010010', '666443102101', '667433022011']"
6.0,"['766334000000', '666344000000', '666443000000', '667433000000', '6716334000000', '7168343000000']"
2.0,"['866334000000', '666344000000', '666444000000', '666444000000', '666444001001', '666444011012', '666444112121', '668444120210']"
3.0,"['866444011011', '666444111111', '668443110110']"
2.0,"['866444011034', '668444111342', '686444111423', '868444110230']"
1.0,"['866334001001', '667343011011', '676433110110', '768333100100']"
1.0,"['766344011011', '668443110110', '686433100100', '868333000000']"
0.0,"['767333000000', '677333001001', '776333011011', '768333110110']"
4.0,"['766444000000', '666444000000', '666444000000', '667444001001']"
2.0,"['866444001001', '666444011012', '666444111122', '668444110220']"
6.0,"['866444011011', '6616444111111', '6168443110110']"
1.0,"['866444000000', '666444000000', '668443000000', '686433000000', '868333000000']"
0.0,"['866444011023', '666443112231', '668433120310']"
3.0,"['866333011012', '666333112122', '666333122221', '668333220210']"
1.0,"['866334000000', '667344000000', '676444000000', '766443000000', '668433000000']"
0.0,"['866444000000', '666444000000', '666443001001', '666433011011', '668333110110']"
3.0,"['866333011011', '666334112112', '668343122121']"
4.0,"['766334110110', '667344100100', '676444000000', '766443002001', '667433022011']"
2.0,"['866333011011', '666333111111', '666333111111', '666333110110', '666333100100', '666333000000', '666334000000', '666343000000', '666433000000', '666333000000', '666333002001', '666333022011', '666333222111', '666333222111', '668333220110', '686334203101', '866344033011', '666444333111', '666444333111', '668444330110']"
1.0,"['866333011011', '666334110110', '667344102101', '676444022011', '767444222111', '676444220110', '766443203101', '666433033011', '666333333111', '666333330110', '668333300100']"
4.0,"['866333011011', '666334110110', '667344102101']"
5.0,"['766333011011', '666333110110', '667333100100']"
6.0,"['866444000000', '667443000000', '676433000000', '766333001001', '666333011011', '667333110110', '6716334100100', '7168343000000']"
1.0,"['766333112121', '667333120210', '676333200100', '768333000000']"
1.0,"['766344112121', '666443120210', '668433200100']"
3.0,"['866444001001', '666444011012', '666444112121', '666443120210', '668433200100']"
0.0,"['876444001001', '766443011011', '668433110110']"
3.0,"['866444011022', '668444112221']"
3.0,"['866444001002', '668444011021']"
0.0,"['868444011021', '686444111212', '866443112121', '668433120210']"
4.0,"['866444011012', '668443112121', '686433122212', '866333223121', '666333234211', '667333344111']"
4.0,"['766333011011', '667333112111', '677333122111']"
2.0,"['766444011011', '666444111111', '668444110110']"
