FunctionalGroup,PathFeature
6,"['666333122111', '666333222111', '666333222111', '668333220110', '686334200100', '866344000000', '666444000000', '668443000000', '686433003001', '866333033011', '666333333111', '666333333111', '666333334111']"
6,"['686334100100', '866344000000', '666444000000', '668443000000', '686433002001']"
6,"['686334111211', '866344110110', '6616444100100', '6166443002001']"
3,"['676333100100', '767333000000', '676333002001', '766333022011', '667333220110', '676333200100', '767333000000', '676333003001']"
6,"['6168354100100', '1686544002002', '866444022023', '668444222232', '686444222323', '866443223231']"
9,"['6156344100100', '1566444000000', '667443000000', '676433000000', '766333002001', '666333022011', '666333220110', '667333200100', '676334000000', '766344000000', '6615444000000', '6156443003001']"
6,"['6815334100100', '8157344000000', '15715444000000', '7158443000000', '1586433002001']"
7,"['667333111211', '676334110110', '766343100100', '666434002001', '666344022011', '666444222111', '666443223111']"
6,"['6815334100100', '8158343000000', '1586433002001']"
6,"['668333110210', '6815334100100', '8158343000000', '1586433002001', '866333022012']"
6,"['6815334100100', '8158343000000', '1586433002001', '866333022012']"
6,"['6815334100100', '8157344000000', '15715445000000', '7156453002001']"
6,"['6168353100100', '1686533002001', '866333022011', '666333223111']"
4,"['666333102101', '666333022011', '667333220110', '676333200100', '766333003001']"
4,"['666333102101', '666333022011', '666333223111', '666333233112']"
6,"['668343100100', '686433002002', '866334022023', '666344222234', '666443223342']"
3,"['667333100100', '677333000000', '776333000000', '767333000000', '677333000000', '776333000000', '766333002001']"
5,"['668333100100', '686334002001', '866344022012', '666444220120', '668443200200', '686433000000', '866333003001']"
5,"['668333100100', '686334000000', '866344002001', '666444022011', '666443223111']"
6,"['668344100100', '686444002001', '866444022011', '668444220110', '686444200100', '866443003001']"
9,"['667333100100', '676333002001', '767333022011', '676333223111']"
9,"['667333100100', '676333002001', '766333022011', '667333220110', '676333200100', '766333003001', '667333033011', '676333333111', '766333330110', '667333300100', '676333004001']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '667443002001', '676433022011', '766333222112']"
0,"['667333122111', '676333220110', '768333200100', '686334000000', '866343003001']"
9,"['667333100100', '676334000000', '766344002001', '666444022011', '666443223111']"
9,"['676333100100', '766333000000', '666333000000', '666333000000', '667333000000', '676333002001']"
6,"['686333102101', '866333022011', '666333223111']"
6,"['667333100100', '678333000000', '786334000000', '866344000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '668443000000', '687433000000', '876333000000', '766333002001']"
9,"['667333100100', '677333002001', '776334022011', '766343223111']"
6,"['668333100100', '686334002001', '868343022011', '686433222111', '866333223111']"
9,"['676333100100', '766334000000', '666344002001', '6616444022011', '6166443222111', '1667433220110', '676333203101']"
4,"['666333102101', '667333022011', '676333223111']"
6,"['6168354100100', '1687543000000', '876434002001', '766344022011', '667443222112']"
6,"['676333122111', '766333222112', '666333223121', '666333233212', '666333334121', '667333344211', '676333445111', '766333455111', '666333555111', '668333550110', '686333506101', '866333066011', '666333666111', '666333666111', '6616334660110', '6166343607101', '1666433077011', '666333777111', '666333777111', '666333778111', '666333788111', '666333888111', '666333888111', '6616334880110', '6166343809101']"
6,"['686333102101', '866333022011', '666333222111', '666333222111', '6616334220110', '6166343203101', '1666433033011', '666333333111', '666333333111', '666333334111', '666333344111', '666333444111', '666333444111', '6616334440110', '6166343405101', '1666433055011', '666333555111', '666333555111', '668333550110', '686333506101', '866333066011', '666333666111', '667333667111', '676333677111', '766333777112', '666333778121', '666333788212', '666333889121', '667333899211', '6763339910111']"
5,"['6166344102101', '1666443020010', '668433200100', '686334000000', '866343003001']"
0,"['668343100100', '686433000000', '867333000000', '676334000000', '766344000000', '666444000000', '666444000000', '6616444000000', '6166443002001']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '666444000000', '666443002001', '666433022012', '666333222123', '666333223233']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '666444000000', '666443002001', '666433022012']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '666444000000', '666443002001', '666433022012', '666333222123']"
6,"['668344100100', '686444002001', '867444022011', '676444223111', '766444233111', '665443330110', '656433304101']"
5,"['686333100100', '866334000000', '666344000000', '666443000000', '668433000000', '686333002001']"
6,"['668343100100', '686433002001', '866333022011', '666333220110', '667333200100', '676334000000', '766343003001']"
9,"['667333100100', '676334000000', '766344000000', '666443002001', '666433022012']"
8,"['667333102101', '676333022011', '766333223111', '666333233112']"
8,"['667333102101', '676333022011', '766333223111']"
4,"['666333110210', '666333102101', '666333022011', '666333220110', '666333203101', '666333033012']"
4,"['666334102103', '666344022032', '666443223321']"
6,"['668344100100', '687444000000', '877443000000', '777433000000', '776333000000', '766333002001']"
5,"['668333100100', '686334000000', '866344000000', '666443000000', '666433000000', '666333002001']"
5,"['668333100100', '686334000000', '866344002001', '666444022013', '667443223131', '676433230310', '766333304101']"
9,"['676333100100', '766334000000', '667344002001', '676444022011', '766444222111', '667444222111', '676444220110', '766443203101', '667433033011', '676333333111', '766333334111']"
5,"['668333100100', '686334000000', '866344002001', '668444022011', '686444222111', '867443223111', '676433233111', '766333333111', '666334330110', '667343304101']"
5,"['668333100100', '686334002001', '866344022011', '668443220110', '686433200100', '866333003001']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '666444000000', '667443002001']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '666444000000', '667443002001', '676433022012']"
6,"['6148344100100', '14814444000000', '8148444000000', '14814444000000', '8146443002001']"
9,"['667333100100', '676333002001', '766333022012']"
9,"['6167343100100', '1676433000000', '766333000000', '6616334000000', '6166343002001']"
6,"['768344100100', '686444000000', '866443002001']"
9,"['667333100100', '676334000000', '766343000000', '666433000000', '666334000000', '667343002001']"
6,"['668343100100', '686433002001', '866333022011', '6615334223111', '6157343233111', '1576433334111']"
4,"['666333102101', '666333022011', '668333220110', '6814334200100', '8148343000000', '1486433003001']"
4,"['666333102101', '666333022011', '668333220110', '6814334200100', '8146343003001']"
6,"['768344100100', '686444000000', '866444000000', '666444000000', '666443002001']"
6,"['686333100100', '867333000000', '676333002001']"
0,"['668343100100', '686433000000', '867333000000', '676334000000', '766344002001', '666444022011', '666444220110', '666443200100', '667433000000', '676333003001']"
9,"['676333100100', '766334000000', '666343002001']"
5,"['668333100100', '686334002001', '866344022011', '666444222111', '668443220110', '686433200100', '866333003001']"
9,"['667333100100', '676334000000', '766344000000', '667444000000', '676444000000', '766444000000', '667443000000', '676433000000', '766333002001']"
7,"['676333122111', '766334222111', '666344220110', '666443200100', '667433000000', '676333003001']"
6,"['668344110210', '6814444100100', '8146443002001']"
6,"['6158344110210', '15815444102101', '8156443022012']"
3,"['676333100100', '767333000000', '676334000000', '766344000000', '667443000000', '676433000000', '767333000000', '676333002001']"
5,"['668333100100', '686333002001', '866333022011', '666333222112', '666334223121', '666343233212', '666433334121', '666333344211', '666333444111', '668333440110', '686333400100', '866333005001', '666333055011', '666333555111', '666333555111', '666333556111']"
5,"['668333100100', '686333002001', '866333022011', '666333222112', '666333222122', '666334223221', '666343233212', '666433334121', '666333344211', '668333440110', '686333400100', '866333005001', '666333055011', '666333555111', '666333555111', '666333556111']"
5,"['668343100100', '686433000000', '866333000000', '666334000000', '666343002001']"
9,"['667333100100', '676333000000', '767333000000', '676333002001', '766333022011', '667333220110', '676333200100', '767333000000', '676333000000', '766333003001']"
4,"['666334100100', '666344000000', '666443002001', '666433022011', '666333222112']"
4,"['666334100100', '666344002001', '668443022011', '686433222112']"
6,"['668344100100', '686444000000', '866444002001', '666444022012', '667443223122']"
6,"['668344100100', '686444002001', '866443022012', '666433222122', '666333222222']"
4,"['666334100100', '666343000000', '666433002001']"
6,"['6148344100100', '1486444000000', '866444002001', '666444022011', '667443223111', '676433233111', '766333333112']"
5,"['668333100100', '686334000000', '866343000000', '666433000000', '6616334000000', '6166343002001']"
9,"['676333100100', '766334000000', '6616344000000', '6166443002001', '16616433022011', '6166333222111', '16616334220110', '6166344200100', '1666443000000', '667433000000', '676333003001']"
9,"['676333100100', '766334000000', '6616344000000', '6166443002001', '16616433022011', '6166333222111', '16616334220110', '6166344200100', '1666443000000', '667433000000', '676333003001', '766333033012']"
5,"['668333100100', '686334000000', '866344000000', '668443000000', '686433000000', '866333002001']"
6,"['686334100100', '866343002001', '666433022011', '666333223111', '666333233112']"
9,"['666333122111', '666333220110', '667333200100', '676334000000', '766343003001']"
9,"['666333122111', '666333220110', '667333200100', '676334000000', '766343003001', '667433033011', '676333333112']"
9,"['667343100100', '676433000000', '766333002001', '666333022011', '666333223111']"
4,"['668333100100', '686334002001', '866343022011', '666434222111', '666344220110', '668443200100', '686433000000', '866333003001']"
6,"['6815334100100', '8157344000000', '15715445000000', '7158453000000', '1586533002001']"
6,"['6815335100100', '8157354000000', '15715544000000', '7158443000000', '1586433002001']"
4,"['666333102101', '666333022012', '666333223121', '666333234211']"
6,"['6814334100100', '8146344000000', '1466443002001']"
6,"['667333100100', '676333002001', '766333022011', '666333222111', '666333222111', '668333220110', '686333203101', '866333033011', '666333333111', '668333330110', '686333304101', '866333044011', '666333444111', '666333444111', '667333440110', '676333400100', '766333005001']"
9,"['666344100100', '666443000000', '667433000000', '676334000000', '766343002001']"
9,"['667333100100', '677333000000', '776333000000', '766334000000', '666344000000', '666443000000', '667433000000', '677333000000', '776333000000', '766333002001']"
4,"['686334100100', '866343000000', '666434002001', '666344022011', '666444222111', '666443223111']"
6,"['686333102101', '866333022011', '667333223111', '676333233111', '766334333112', '666344334122', '666443344222', '666433445222']"
6,"['686334100100', '866344000000', '668444000000', '686444000000', '866444000000', '668443000000', '686433002001']"
6,"['668344100100', '686444002001', '866443022012', '668433223121', '686333233212']"
6,"['668344110210', '686444100100', '866443002001']"
6,"['686334102101', '866344022011', '666443223111']"
6,"['6815335100100', '8157354000000', '15715545000000', '7156453002001']"
6,"['686333102101', '866333022011', '6615334220110', '6156343203101']"
4,"['666334111211', '666344110110', '6615444100100', '6156443002001']"
6,"['6148344100100', '14814444000000', '8146443002001']"
4,"['666333100100', '666333000000', '6615334000000', '6156343002001']"
0,"['668343100100', '686433000000', '867333000000', '676334000000', '766344002001', '666444022011', '666443220110', '666433203101']"
6,"['668343100100', '686433002001', '866333022011', '666333222111', '668333220110', '686334200100', '866343003001']"
4,"['666333100100', '666333000000', '666333002001', '666333022011', '666333223111']"
4,"['666334100100', '666344000000', '666443002001', '666433022011', '668333220110', '686333200100', '866333003001']"
8,"['766334100100', '666344000000', '6616444000000', '6166443002001']"
5,"['668333100100', '686334000000', '866344000000', '666443000000', '667433000000', '676334000000', '766343002001']"
